NZ_AP017617.1	NC_020307.1	92.399	20010	3719269	3739233	3424880	3404901
NZ_AP017617.1	NC_020307.1	85.972	16809	4296633	4313367	2934812	2918061
NZ_AP017617.1	NC_020307.1	86.465	14747	202933	217662	1965297	1950579
NZ_AP017617.1	NC_020307.1	94.058	9811	4582967	4592769	2660023	2650224
NZ_AP017617.1	NC_020307.1	88.248	12313	2463203	2475499	4562660	4550394
NZ_AP017617.1	NC_020307.1	90.637	10574	2806008	2816538	4203001	4192451
NZ_AP017617.1	NC_020307.1	90.228	10663	4611179	4621794	2636719	2626086
NZ_AP017617.1	NC_020307.1	86.075	10542	439200	449698	1780256	1769764
NZ_AP017617.1	NC_020307.1	91.442	8191	4278909	4287081	2952744	2944577
NZ_AP017617.1	NC_020307.1	87.521	9624	4409098	4418710	2834217	2824603
NZ_AP017617.1	NC_020307.1	84.185	11445	97215	108632	2087664	2076247
NZ_AP017617.1	NC_020307.1	80.628	14459	1046151	1060539	143250	157628
NZ_AP017617.1	NC_020307.1	89.332	8680	3588536	3597189	3555588	3546931
NZ_AP017617.1	NC_020307.1	83.799	11098	2629996	2641035	4422185	4411137
NZ_AP017617.1	NC_020307.1	83.335	11293	3620801	3632063	3524989	3513724
NZ_AP017617.1	NC_020307.1	79.599	14112	2180291	2194310	1245039	1259055
NZ_AP017617.1	NC_020307.1	90.286	7453	3739757	3747186	3404375	3396948
NZ_AP017617.1	NC_020307.1	87.365	8421	225095	233497	1942118	1933715
NZ_AP017617.1	NC_020307.1	85.594	9232	4898966	4908149	2433220	2424026
NZ_AP017617.1	NC_020307.1	79.576	13073	1362306	1375308	404266	417262
NZ_AP017617.1	NC_020307.1	86.419	8394	3605997	3614353	3539948	3531580
NZ_AP017617.1	NC_020307.1	97.183	5395	4569870	4575251	2926588	2921206
NZ_AP017617.1	NC_020307.1	96.662	5392	2805797	2811165	2921206	2926577
NZ_AP017617.1	NC_020307.1	88.658	7300	1480741	1488030	952266	944983
NZ_AP017617.1	NC_020307.1	97.315	5215	4570075	4575276	2631253	2626051
NZ_AP017617.1	NC_020307.1	97.083	5245	4304986	4310216	2631316	2626083
NZ_AP017617.1	NC_020307.1	85.670	8430	2903896	2912279	3998784	3990382
NZ_AP017617.1	NC_020307.1	97.011	5253	4616566	4621804	2926444	2921206
NZ_AP017617.1	NC_020307.1	97.332	5172	4616474	4621631	3429342	3434502
NZ_AP017617.1	NC_020307.1	96.560	5261	2805796	2811031	2626076	2631316
NZ_AP017617.1	NC_020307.1	83.698	9177	2229141	2238290	1282671	1291840
NZ_AP017617.1	NC_020307.1	96.444	5203	4304865	4310049	4197844	4203033
